,latitude,longitude,brightness,satellite,frp,daynight,type_2,type_3,scan_binned,year,month,day
132,-28.0156,148.2017,335.3,0,56.0,1,0,0,2,2019,8,1
133,-29.088,148.4866,320.8,0,19.6,1,0,0,2,2019,8,1
134,-24.6606,151.3671,327.9,0,23.3,1,0,0,1,2019,8,1
135,-24.6682,151.3786,328.2,0,23.4,1,0,0,1,2019,8,1
136,-24.6578,151.3869,324.0,0,18.7,1,0,0,1,2019,8,1
137,-19.4815,146.3895,317.8,0,19.6,1,0,0,2,2019,8,1
138,-19.4922,146.3912,360.2,0,140.7,1,0,0,2,2019,8,1
139,-19.4995,146.4203,340.5,0,68.7,1,0,0,2,2019,8,1
140,-19.4927,146.4757,314.5,0,14.8,1,0,0,2,2019,8,1
141,-19.5102,146.422,312.2,0,14.4,1,0,0,2,2019,8,1
142,-19.4939,146.3771,316.3,0,16.7,1,0,0,2,2019,8,1
143,-18.6816,145.7365,310.4,0,15.5,1,0,0,2,2019,8,1
144,-14.8508,144.3189,387.4,0,405.8,1,0,0,2,2019,8,1
145,-14.8529,144.3027,334.9,0,67.7,1,0,0,2,2019,8,1
146,-13.2252,141.9932,325.0,0,61.0,1,0,0,3,2019,8,1
147,-13.2352,141.9781,324.7,0,60.2,1,0,0,3,2019,8,1
148,-13.2325,142.0011,328.1,0,75.9,1,0,0,3,2019,8,1
149,-13.3346,142.0185,312.7,0,19.9,1,0,0,3,2019,8,1
150,-13.5224,142.6336,316.1,0,24.5,1,0,0,3,2019,8,1
151,-13.6289,141.9563,317.7,0,37.0,1,0,0,3,2019,8,1
152,-13.5903,142.621,312.8,0,13.4,1,0,0,3,2019,8,1
153,-13.5872,142.6256,316.1,0,21.2,1,0,0,3,2019,8,1
154,-13.8268,143.14,309.6,0,10.8,1,0,0,3,2019,8,1
155,-15.4776,142.5811,315.4,0,20.0,1,0,0,3,2019,8,1
156,-15.0828,144.9226,309.4,0,12.2,1,0,0,2,2019,8,1
157,-15.0421,144.9773,310.3,0,15.6,1,0,0,2,2019,8,1
158,-15.0416,144.9704,310.1,0,13.9,1,0,0,2,2019,8,1
159,-15.038,144.8193,315.2,0,16.5,1,0,0,2,2019,8,1
160,-15.0267,144.8179,316.6,0,18.7,1,0,0,2,2019,8,1
161,-15.0594,144.4606,315.0,0,18.0,1,0,0,2,2019,8,1
162,-14.9914,144.9189,320.7,0,24.9,1,0,0,2,2019,8,1
163,-14.9417,144.8623,317.3,0,20.2,1,0,0,2,2019,8,1
164,-14.9436,144.8472,327.7,0,42.9,1,0,0,2,2019,8,1
165,-14.8715,144.408,330.9,0,52.9,1,0,0,2,2019,8,1
166,-14.8676,144.3426,323.1,0,30.9,1,0,0,2,2019,8,1
167,-14.8695,144.3264,319.9,0,24.4,1,0,0,2,2019,8,1
168,-14.8559,144.3411,346.4,0,105.5,1,0,0,2,2019,8,1
169,-14.8579,144.3248,358.9,0,170.7,1,0,0,2,2019,8,1
170,-14.8598,144.3086,341.2,0,86.4,1,0,0,2,2019,8,1
171,-14.8443,144.3396,333.2,0,55.1,1,0,0,2,2019,8,1
172,-14.8462,144.3233,386.6,0,395.1,1,0,0,2,2019,8,1
173,-14.8481,144.307,365.4,0,214.6,1,0,0,2,2019,8,1
174,-14.8488,144.3351,349.2,0,122.3,1,0,0,2,2019,8,1
175,-11.7949,142.0856,312.3,0,21.5,1,0,0,3,2019,8,1
176,-12.018,141.8599,315.8,0,30.9,1,0,0,3,2019,8,1
177,-11.8598,142.1847,312.4,0,21.4,1,0,0,3,2019,8,1
178,-33.7971,120.7667,328.2,0,104.3,1,0,0,3,2019,8,1
179,-33.3438,120.8919,307.1,0,24.2,1,0,0,3,2019,8,1
180,-33.3513,120.8858,303.3,0,15.0,1,0,0,3,2019,8,1
181,-33.3014,120.9884,303.5,0,15.7,1,0,0,3,2019,8,1
182,-33.7994,120.7996,315.6,0,53.2,1,0,0,3,2019,8,1
183,-33.8013,120.7719,336.0,0,145.8,1,0,0,3,2019,8,1
184,-26.1473,129.3442,317.4,0,8.9,1,0,0,2,2019,8,1
185,-22.2687,124.8861,352.4,0,59.2,1,0,0,2,2019,8,1
186,-22.9423,128.2021,319.1,0,6.7,1,0,0,2,2019,8,1
187,-22.9439,128.1919,322.0,0,9.8,1,0,0,2,2019,8,1
188,-22.2645,124.9169,325.7,0,11.7,1,0,0,2,2019,8,1
189,-22.2659,124.9067,328.3,0,15.0,1,0,0,2,2019,8,1
190,-22.2673,124.8964,341.5,0,35.6,1,0,0,2,2019,8,1
191,-22.2701,124.8758,334.3,0,24.1,1,0,0,2,2019,8,1
192,-20.7789,119.4428,328.9,0,45.8,1,0,0,3,2019,8,1
193,-20.7918,119.4444,337.7,0,81.1,1,0,0,3,2019,8,1
194,-20.7941,119.4234,332.6,0,57.3,1,0,0,3,2019,8,1
195,-20.7811,119.4219,326.9,0,37.6,1,0,0,3,2019,8,1
196,-15.1927,130.34,325.6,0,26.4,1,0,0,2,2019,8,1
197,-16.9071,122.7686,324.0,0,8.5,1,0,0,2,2019,8,1
198,-15.4903,130.6806,328.7,0,28.2,1,0,0,2,2019,8,1
199,-15.5022,130.6125,333.7,0,42.5,1,0,0,2,2019,8,1
200,-15.5052,130.5955,337.4,0,56.7,1,0,0,2,2019,8,1
201,-15.5081,130.5788,328.8,0,28.9,1,0,0,2,2019,8,1
202,-15.511,130.562,328.1,0,28.5,1,0,0,2,2019,8,1
203,-15.5139,130.5452,328.2,0,28.7,1,0,0,2,2019,8,1
204,-15.5012,130.6593,331.0,0,36.9,1,0,0,2,2019,8,1
205,-15.5041,130.6423,328.6,0,29.2,1,0,0,2,2019,8,1
206,-15.5069,130.6255,327.4,0,24.6,1,0,0,2,2019,8,1
207,-15.5097,130.6084,334.3,0,46.1,1,0,0,2,2019,8,1
208,-15.5126,130.5914,331.0,0,35.5,1,0,0,2,2019,8,1
209,-15.4905,130.4331,327.0,0,23.0,1,0,0,2,2019,8,1
210,-15.4755,130.3795,337.2,0,56.8,1,0,0,2,2019,8,1
